id|price|ean|wartosci_odzywcze|title
1238|3.99 zł|5900691031039|{'wartość energetyczna ': '550 kJ / 131 kcal', 'tłuszcz ': '7,5 g', 'w tym kwasy tłuszczowe nasycone ': '5,3 g', 'węglowodany ': '9,4 g', 'w tym cukry ': '9,4 g', 'białko ': '6,6 g', 'sól ': '0,30 g', 'metadata': 'w 100 g'}|Sm Gostyń Mleko Gostyńskie Zagęszczone Niesłodzone 7,5% 500 G
88028|3.99 zł|5902899140728|{'wartość energetyczna ': '1461 kJ / 352 kcal', 'tłuszcz ': '28 g', 'w tym kwasy tłuszczowe nasycone ': '20 g', 'węglowodany ': '0 g', 'w tym cukry ': '0 g', 'białko ': '25 g', 'sól ': '1,5 g', 'wapń ': '814 mg (102% RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal))', 'metadata': 'w 100 g:'}|Hochland Ser Żółty Gouda W Plastrach 135 G
34772|2.55 zł|5900512320335|{'Energia': '50 kcal', 'Tłuszcz ': '2,0 g', ' w tym kwasy nasycone ': '1,3 g', 'Węglowodany ': '4,7 g', ' w tym cukry ': '4,7 g', 'Białko ': '3,2 g', 'Sól ': '0,10 g', 'Wapń ': '105 mg - 13%*', 'Zawartość soli wynika z naturalnie występującego sodu.': '', '*Dzienna Referencyjna Wartość Spożycia wapnia (dla osoby dorosłej).': '', 'metadata': 'w 100 ml'}|Mlekovita Wypasione Mleko Uht 2,0% 1 L
91610|1.99 zł|5900512983424|{'Energis': '773 kJ / 187 kcal', 'Tłuszcz ': '18 g', ' w tym kwasy nasycone ': '11 g', 'Węglowodany ': '3,9 g', ' w tym cukry': '3,9 g', 'Białko ': '2,4 g', 'Sól ': '0,10 g', 'metadata': 'w 100 g'}|Mlekovita Śmietana Polska Bez Laktozy 18% 200 G
62470|2.89 zł|5901939000794|{'Wartość energetyczna ': '251 kJ /60 kcal', 'Tłuszcz ': '3,2 g', 'w tym kwasy tłuszczowe nasycone ': '2,5 g', 'Węglowodany ': '4,7 g', 'w tym cukry ': '4,7 g', 'Białko ': '3,1 g', 'Sól ': '0,10 g', 'Wapń': '121 mg / 15% RWS*', '*RWS - referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ / 2000 kcal).': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 ml:'}|Piątnica Mleko Wiejskie Świeże 3,2% 1 L
78501|1.55 zł|5900820014360|{'energia': '578 kJ/138 kcal', 'tłuszcz': '5,5 g', 'w tym - kwasy nasycone': '3,6 g', 'węglowodany': '15 g', 'w tym - cukry': '14 g', 'białko': '7,0 g', 'sól': '0,10 g', 'metadata': 'produktu w 100 g:'}|Rolmlecz Serek Waniliowy Z Laską Wanilii 150 G
61834|9.99 zł|5900857004839|{'Wartość energetyczna ': '1589 kJ/ 383 kcal', 'Tłuszcz ': '30 g', 'w tym kwasy tłuszczowe nasycone ': '22 g', 'Węglowodany ': '1,2 g', ' w tym cukry ': '0 g', 'Białko ': '27 g', 'Sól ': '1,6 g', '*Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', 'Opakowanie 190 g zawiera 5 sugerowanych porcji produktu.': '', 'metadata': 'w 100 g\nw porcji 38 g\n%RWS* w porcji 38 g'}|Skarby Serowara Ser Bursztyn 190 G
71258|8.49 zł|5902768167108||Z Wiejskiego Dworku Jaja Z Wolnego Wybiegu Klasa L
79915|3.19 zł|4014500509853||Zott Jogobella Jogurt 400 G
42166|1.09 zł|4014500021560||Zott Jogobella Jogurt 150 G
61147|2.49 zł|40145990|{'wartość energetyczna ': '813 kJ/195 kcal', 'tłuszcz ': '13,3 g', '- w tym kwasy tłuszczowe nasycone': '8,8 g', 'węglowodany ': '15,9 g', '- w tym cukry': '13,7 g', 'białko': '2,8 g', 'sól ': '0,13 g', 'wapń': '120 mg (15% RWS*)', 'witamina A': '120 µg (15% RWS*)', '*Referencyjna Wartość Spożycia': '', 'metadata': 'Przeciętna wartość odżywcza w 100 g:'}|Zott Monte Deser Mleczny Z Czekoladą I Orzechami 150 G
81226|1.79 zł|5900197022418|{'Wartość energetyczna ': '410 kJ/97 kcal', 'Tłuszcz ': '2,5 g', 'w tym kwasy nasycone ': '1,8 g', 'Węglowodany ': '15,5 g', 'w tym cukry ': '14,5 g', 'Białko ': '3,3 g', 'Sól ': '0,10 g', 'metadata': '100 g jogurtu'}|Bakoma Jogurt Bio Z Jagodami 140 G
