|id|price|ean|wartosci_odzywcze|title
25|27647|2.49 zł|2204785000000||Bułka Tarta
26|10368|2.89 zł|99229||Chałka
27|2864|2.59 zł|5901204000641|{'Wartość energetyczna ': '760 kJ/181 kcal', 'Tłuszcz ': '15 g', 'w tym kwasy tłuszczowe nasycone ': '3,0 g', 'Węglowodany ': '4,0 g', 'w tym cukry ': '0,8 g', 'Białko ': '7,0 g', 'Sól ': '1,4 g', 'metadata': 'w: 100 g'}|Drosed Podlaski Pasztet Drobiowy 155 G
28|89197|23.98 zł|8711000521106||Jacobs Crema Kawa Rozpuszczalna 200 G
29|80875|21.78 zł|8711000525722||Jacobs Krönung Kawa Mielona 500 G
30|59137|3.25 zł|5900084229395|{'Wartość energetyczna ': '388/93 (kJ/kcal)', 'Tłuszcz ': '4,0 g', ' w tym kwasy tłuszczowe nasycone ': '0,2 g', 'Węglowodany ': '7,9 g', ' w tym cukry ': '7,7 g', 'Białko ': '4,4 g', 'Sól ': '2,9 g', 'metadata': 'Średnia wartość odżywcza w 100 g produktu:'}|Kamis Musztarda Sarepska 185 G
31|59595|2.19 zł|5900084001014||Kamis Pieprz Czarny Ziarnisty 20 G
32|68666|1.99 zł|5900300512270|{'Energia': '1383 kJ/382 kcal', 'Tłuszcz ': '4,3 g', ' w tym kwasy nasycone ': '2,7 g', 'Węglowodany ': '63 g', ' w tym cukry ': '36 g', 'Błonnik ': '8,3 g', 'Białko ': '7,4 g', 'Sól ': '7,7 g', '*% referencyjnej wartości spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', '**1 porcja = 300 g. Opakowanie wystarcza do przygotowania 4 porcji.': '', 'metadata': '100 g Fixu\n100 g przygotowanego dania\n1 porcji** dania\n%* w porcji**'}|Knorr Fix Spaghetti Napoli 45 G
33|23660|3.15 zł|5902172000114|{'Wartość energetyczna ': '1499 kJ', 'Wartość energetyczna': '353 kcal', 'Tłuszcz ': '1 g', '- w tym kwasy tłuszczowe nasycone ': '0,2 g', 'Węglowodany ': '79 g', '- w tym cukry ': '0,2 g', 'Błonnik ': '2,4 g', 'Białko ': '7 g', 'Sól ': '0,02 g', '* Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', 'metadata': 'w 100 g\nw 1 porcji 50 g\n% RWS* w porcji 50 g'}|Kupiec Ryż Biały Długoziarnisty 400 G (4 Torebki)
34|86167|13.49 zł|8714100088944|{'Energia': '<17 kJ <4 kcal', 'Tłuszcz ': '0 g', '- w tym kwasy nasycone ': '0 g', 'Węglowodany ': '<0,5 g', '- w tym cukry ': '<0,5 g', 'Białko ': '<0,5 g', 'Sól ': '0 g', '* Herbata parzona świeżo zagotowanym wrzątkiem w kubku 200 ml przez 1-2 minuty (bez mleka i cukru). ': '', 'metadata': '100 ml*'}|Lipton Yellow Label Herbata Czarna 184 G (92 Torebki)
